location,events,query,lat,lon,geo_precision,country,display_name,note,manual
"Portofino, ITL",1,"Portofino, Italy",44.3032530,9.2095582,town,Italy,"Portofino, Genova, Liguria, Italia",,FALSE
"Poughkeepsie, NY",1,"Poughkeepsie, New York, USA",41.7065539,-73.9283672,town,USA,"City of Poughkeepsie, Dutchess County, New York, 12601, United States",,FALSE
"Princeton, NJ",1,"Princeton, New Jersey, USA",40.3496953,-74.6597376,town,USA,"Princeton, Mercer County, New Jersey, United States",,FALSE
"Providence, RI",1,"Providence, Rhode Island, USA",41.8239891,-71.4128343,town,USA,"Providence, Providence County, Rhode Island, United States",,FALSE
Reading,2,"Reading, Berkshire, England, UK",51.4520064,-0.9684735,town,UK,"Reading, Oxfordshire, England, United Kingdom",,FALSE
Reigate,2,"Reigate, England, UK",51.2376557,-0.2057067,town,UK,"Reigate, Reigate and Banstead, Surrey, England, RH2 7AA, United Kingdom",,FALSE
Romsey,4,"Romsey, England, UK",50.9891396,-1.4999044,town,UK,"Romsey, Test Valley, Hampshire, England, United Kingdom",,FALSE
"Roxbury, MA",1,"Roxbury, Massachusetts, USA",42.3289067,-71.0850853,town,USA,"Roxbury, Boston, Suffolk County, Massachusetts, 02119, United States",,FALSE
S. S. Malta,1,,,,unmappable,,,a reading given aboard ship in passage; no fixed point,FALSE
"Saint Johnsbury, VT",1,"Saint Johnsbury, Vermont, USA",44.4194940,-72.0156532,town,USA,"Saint Johnsbury, Caledonia County, Vermont, United States",,FALSE
Sale,2,"Sale, Greater Manchester, England, UK",53.4244939,-2.3184150,town,UK,"Sale, Trafford, Greater Manchester, England, M33 2AB, United Kingdom",,FALSE
Saltaire,1,"Saltaire, England, UK",53.8371089,-1.7906734,town,UK,"Saltaire, Shipley, Baildon, Bradford, West Yorkshire, England, United Kingdom",,FALSE
"San Remo, ITL",3,"Sanremo, Italy",43.8362985,7.7772658,town,Italy,"Sanremo, Provincia di Imperia, Liguria, 18034, Italia",,FALSE
Scarborough,5,"Scarborough, England, UK",54.2820009,-0.4011868,town,UK,"Scarborough, North Yorkshire, York and North Yorkshire, England, United Kingdom",,FALSE
"Shanklin, Isle of Wight",1,"Shanklin, Isle of Wight, England, UK",50.6288132,-1.1779031,town,UK,"Shanklin, Isle of Wight, England, United Kingdom",,FALSE
Shields,1,"South Shields, England, UK",54.9987414,-1.4321848,town,UK,"South Shields, South Tyneside, Tyne and Wear, North East, England, NE33 1NF, United Kingdom","ambiguous: the article lists North Shields separately, but #656 cites the Shields Daily Gazette of South Shields",FALSE
Southam,2,"Southam, Warwickshire, England, UK",52.2530940,-1.3884119,town,UK,"Southam CP, Stratford-on-Avon, Warwickshire, England, United Kingdom","entries name Ladbroke Hall, near Southam",FALSE
Southampton,1,"Southampton, England, UK",50.9025349,-1.4041890,town,UK,"Southampton, England, United Kingdom",,FALSE
Southborough,2,"Southborough, Kent, England, UK",51.1642824,0.2633735,town,UK,"Southborough, Tunbridge Wells, Kent, England, United Kingdom",,FALSE
"Southwark, London",1,"Southwark, London, England, UK",51.5061349,-0.1011379,town,UK,"Southwark, London Borough of Southwark, Greater London, England, SE1 9RE, United Kingdom",,FALSE
"Springfield, MA",1,"Springfield, Massachusetts, USA",42.1018764,-72.5886727,town,USA,"Springfield, Hampden County, Massachusetts, United States",,FALSE
"St. Andrews, SCT",2,"St. Andrews, Scotland, UK",56.3403678,-2.7950440,town,UK,"St Andrews, Fife, Alba / Scotland, KY16 9NU, United Kingdom",,FALSE
St. Leonards,6,"St Leonards, Hastings, United Kingdom",50.8521318,0.5603008,town,UK,"St Leonards, Hastings, East Sussex, England, TN37 6AA, United Kingdom",,FALSE
"St. Leonards, Hastings",4,"St Leonards, Hastings, United Kingdom",50.8521318,0.5603008,town,UK,"St Leonards, Hastings, East Sussex, England, TN37 6AA, United Kingdom",,FALSE
Stockton,1,"Stockton-on-Tees, England, UK",54.5545780,-1.3584913,town,UK,"Stockton-on-Tees, Tees Valley, England, United Kingdom",,FALSE
Stoke Newington,1,"Stoke Newington, England, UK",51.5578698,-0.0822482,town,UK,"Stoke Newington, London Borough of Hackney, Greater London, England, N16 9JS, United Kingdom",,FALSE
"Streatham Hill, London",1,"Streatham Hill, London, England, UK",51.4406366,-0.1222490,town,UK,"Streatham Hill, London Borough of Lambeth, Greater London, England, SW2 3TH, United Kingdom",,FALSE
Stretford,1,"Stretford, England, UK",53.4477056,-2.3234400,town,UK,"Stretford, Trafford, Greater Manchester, England, M32 9HP, United Kingdom",,FALSE
Sunderland,3,"Sunderland, England, UK",54.9058512,-1.3828727,town,UK,"Sunderland, Tyne and Wear, North East, England, SR1 3HW, United Kingdom",,FALSE
"Surbiton, London",1,"Surbiton, London, England, UK",51.3937557,-0.3033105,town,UK,"Surbiton, Royal Borough of Kingston upon Thames, Greater London, England, KT6 4LQ, United Kingdom",,FALSE
"Sydenham, IRL",1,"Sydenham, Ireland",54.6040971,-5.8798789,town,Ireland,"Sydenham, Strandtown, Belfast City District, County Down, Northern Ireland / Tuaisceart Éireann, BT4 1ND, United Kingdom",,FALSE
Taunton,1,"Taunton, England, UK",51.0147895,-3.1029086,town,UK,"Taunton, Somerset, England, TA1 1JD, United Kingdom",,FALSE
"Toronto, Ontario",1,"Toronto, Ontario, Canada",43.6534817,-79.3839347,town,Canada,"Toronto, Golden Horseshoe, Ontario, Canada",,FALSE
Tunbridge Wells,5,"Royal Tunbridge Wells, England, UK",51.1371483,0.2673446,town,UK,"Royal Tunbridge Wells, Tunbridge Wells, Kent, England, TN1 2DL, United Kingdom",,FALSE
Tynemouth,1,"Tynemouth, England, UK",55.0177847,-1.4256042,town,UK,"Tynemouth, North Tyneside, Tyne and Wear, North East, England, NE30 4LY, United Kingdom",,FALSE
"Upper Perthshire, SCT",1,"Perth and Kinross, Scotland, UK",56.5000000,-3.7500000,region,UK,"Perth and Kinross, Alba / Scotland, United Kingdom","region, not a town",FALSE
Wallasey,1,"Wallasey, England, UK",53.4241208,-3.0394101,town,UK,"Wallasey, Wirral, Liverpool City Region, England, CH45 7NE, United Kingdom",,FALSE
"Washington, DC",2,"Washington, District of Columbia, USA",38.8950982,-77.0363849,town,USA,"Washington, District of Columbia, United States",,FALSE
Wellingborough,2,"Wellingborough, England, UK",52.3018900,-0.6937309,town,UK,"Wellingborough, North Northamptonshire, England, NN8 1AF, United Kingdom",,FALSE
"Westboro, MA",1,"Westborough, Massachusetts, USA",42.2694308,-71.6129907,town,USA,"Westborough, Worcester County, Massachusetts, 01581, United States",source spelling of Westborough,FALSE
Westminster,1,"Westminster, England, UK",51.5004439,-0.1265398,town,UK,"Westminster, Millbank, City of Westminster, Greater London, England, SW1P 3JX, United Kingdom",,FALSE
"Westminster, London",1,"Westminster, London, England, UK",51.5004439,-0.1265398,town,UK,"Westminster, Millbank, City of Westminster, Greater London, England, SW1P 3JX, United Kingdom",,FALSE
Weston-Super-Mare,1,"Weston-super-Mare, England, UK",51.3471927,-2.9778916,town,UK,"Weston-super-Mare, North Somerset, England, United Kingdom",,FALSE
Weybridge Heath,4,"Weybridge, Surrey, England, UK",51.3727175,-0.4549297,town,UK,"Weybridge, Elmbridge, Surrey, England, United Kingdom",,FALSE
Whitby,2,"Whitby, England, UK",54.4866526,-0.6135315,town,UK,"Whitby, North Yorkshire, York and North Yorkshire, England, United Kingdom",,FALSE
"Whitechapel, London",1,"Whitechapel, London, England, UK",51.5174861,-0.0659685,town,UK,"Whitechapel, London Borough of Tower Hamlets, Greater London, England, E1 1DT, United Kingdom",,FALSE
Wigston Magna,1,"Wigston, Leicestershire, England, UK",52.5862795,-1.1059076,town,UK,"Wigston, Oadby and Wigston, Leicestershire, England, LE18 1DT, United Kingdom",,FALSE
"Williamsport, PA",1,"Williamsport, Pennsylvania, USA",41.2411556,-77.0011096,town,USA,"Williamsport, Lycoming County, Pennsylvania, United States",,FALSE
"Wilmington, DE",1,"Wilmington, Delaware, USA",39.7459468,-75.5465890,town,USA,"Wilmington, New Castle County, Delaware, United States",,FALSE
Wimbledon,1,"Wimbledon, England, UK",51.4214787,-0.2064027,town,UK,"Wimbledon, Greater London, England, SW19 7NL, United Kingdom",,FALSE
Winchester,1,"Winchester, England, UK",51.0612766,-1.3131692,town,UK,"Winchester, Hampshire, England, SO23 9LF, United Kingdom",,FALSE
"Wood Green, London",1,"Wood Green, London, England, UK",51.5972054,-0.1099585,town,UK,"Wood Green, Greater London, England, N22 6DR, United Kingdom",,FALSE
Woodford,4,"Woodford, London, England, UK",51.6041652,0.0324525,town,UK,"Woodford, London Borough of Redbridge, Greater London, England, IG8 7BX, United Kingdom",,FALSE
Woolwich,1,"Woolwich, England, UK",51.4826696,0.0623335,town,UK,"Woolwich, Greater London, England, SE18 6FX, United Kingdom",,FALSE
"Woolwich, London",1,"Woolwich, London, England, UK",51.4826696,0.0623335,town,UK,"Woolwich, Greater London, England, SE18 6FX, United Kingdom",,FALSE
"Worcester, MA",1,"Worcester, Massachusetts, USA",42.2625621,-71.8018877,town,USA,"Worcester, Worcester County, Massachusetts, United States",,FALSE
Wrexham,1,"Wrexham, Wales, UK",53.0465084,-2.9937869,town,UK,"Wrexham, Cymru / Wales, LL11 1AP, United Kingdom",,FALSE
York,3,"York, England, UK",53.9656579,-1.0743052,town,UK,"York, York and North Yorkshire, England, United Kingdom",,FALSE
"[Bordighera, ITL]",1,"Bordighera, Italy",43.7939893,7.6731108,inferred,Italy,"Bordighera, Provincia di Imperia, Liguria, 18012, Italia",place inferred by the editors,FALSE
"[Camden], London",1,"Camden, London, England, UK",51.5427966,-0.1624803,inferred,UK,"London Borough of Camden, Greater London, England, United Kingdom",place inferred by the editors,FALSE
[London],6,"London, England, UK",51.5074456,-0.1277653,inferred,UK,"Greater London, England, United Kingdom",place inferred by the editors,FALSE
unknown,5,,,,unmappable,,,location not recorded,FALSE
